n;mcsta;mcstascaled;mcstashifted;Storm;Stormscaled;Stormshifted;Storm-static;Storm-staticscaled;Storm-staticshifted
1;0.5834999084472656;0.7499805016333018;1.0;0.05629229545593262;0.5210599442068282;1.0;0.16849946975708008;0.5630537314082853;1.0
2;1.5008697509765625;1.5008697509765625;1.5008697509765625;0.05872178077697754;0.5219351362995924;1.0;0.3775749206542969;0.6505377094509489;1.0
3;3.161301851272583;3.161301851272583;3.161301851272583;0.17017889022827148;0.5637073105210464;1.0;0.884270191192627;0.9231686703140354;1.0
4;4.457219123840332;4.457219123840332;4.457219123840332;0.3793656826019287;0.6513429319829738;1.0;1.432480812072754;1.432480812072754;1.432480812072754
5;4.865910768508911;4.865910768508911;4.865910768508911;0.9615771770477295;0.9738075853719411;1.0;1.7032315731048584;1.7032315731048584;1.7032315731048584
6;6.813416481018066;6.813416481018066;6.813416481018066;1.5224509239196777;1.5224509239196777;1.5224509239196777;2.1429407596588135;2.1429407596588135;2.1429407596588135
7;6.853604316711426;6.853604316711426;6.853604316711426;1.8831770420074463;1.8831770420074463;1.8831770420074463;2.2059433460235596;2.2059433460235596;2.2059433460235596
8;7.563396215438843;7.563396215438843;7.563396215438843;2.044778823852539;2.044778823852539;2.044778823852539;2.39858078956604;2.39858078956604;2.39858078956604
9;8.622283220291138;8.622283220291138;8.622283220291138;2.22442889213562;2.22442889213562;2.22442889213562;2.551135301589966;2.551135301589966;2.551135301589966
10;8.715144634246826;8.715144634246826;8.715144634246826;2.2538836002349854;2.2538836002349854;2.2538836002349854;2.551251173019409;2.551251173019409;2.551251173019409
11;11.371845722198486;11.371845722198486;11.371845722198486;2.676541566848755;2.676541566848755;2.676541566848755;2.6739039421081543;2.6739039421081543;2.6739039421081543
12;14.362655639648438;14.362655639648438;14.362655639648438;2.8162624835968018;2.8162624835968018;2.8162624835968018;2.749143123626709;2.749143123626709;2.749143123626709
13;14.709834575653076;14.709834575653076;14.709834575653076;2.9586479663848877;2.9586479663848877;2.9586479663848877;3.0188868045806885;3.0188868045806885;3.0188868045806885
14;17.583662271499634;17.583662271499634;17.583662271499634;3.366090774536133;3.366090774536133;3.366090774536133;3.2915565967559814;3.2915565967559814;3.2915565967559814
15;18.091585874557495;18.091585874557495;18.091585874557495;3.609356164932251;3.609356164932251;3.609356164932251;3.604830741882324;3.604830741882324;3.604830741882324
16;18.24471354484558;18.24471354484558;18.24471354484558;3.7198030948638916;3.7198030948638916;3.7198030948638916;3.6772022247314453;3.6772022247314453;3.6772022247314453
17;19.47104835510254;19.47104835510254;19.47104835510254;3.813185453414917;3.813185453414917;3.813185453414917;4.424342393875122;4.424342393875122;4.424342393875122
18;20.58755660057068;20.58755660057068;20.58755660057068;4.46652364730835;4.46652364730835;4.46652364730835;4.452574014663696;4.452574014663696;4.452574014663696
19;22.28098726272583;22.28098726272583;22.28098726272583;4.655896425247192;4.655896425247192;4.655896425247192;5.339758634567261;5.339758634567261;5.339758634567261
20;25.009660720825195;25.009660720825195;25.009660720825195;5.840109348297119;5.840109348297119;5.840109348297119;5.659239053726196;5.659239053726196;5.659239053726196
21;28.12315845489502;28.12315845489502;28.12315845489502;5.9681556224823;5.9681556224823;5.9681556224823;6.141637802124023;6.141637802124023;6.141637802124023
22;28.93529224395752;28.93529224395752;28.93529224395752;6.182638168334961;6.182638168334961;6.182638168334961;6.3231165409088135;6.3231165409088135;6.3231165409088135
23;31.09599471092224;31.09599471092224;31.09599471092224;6.9316794872283936;6.9316794872283936;6.9316794872283936;6.412476539611816;6.412476539611816;6.412476539611816
24;31.653822660446167;31.653822660446167;31.653822660446167;6.977262020111084;6.977262020111084;6.977262020111084;7.421068906784058;7.421068906784058;7.421068906784058
25;44.12491154670715;44.12491154670715;44.12491154670715;8.527657985687256;8.527657985687256;8.527657985687256;9.010342359542847;9.010342359542847;9.010342359542847
26;44.932929277420044;44.932929277420044;44.932929277420044;8.91723370552063;8.91723370552063;8.91723370552063;9.320540189743042;9.320540189743042;9.320540189743042
27;45.77377796173096;45.77377796173096;45.77377796173096;9.272659063339233;9.272659063339233;9.272659063339233;9.679322957992554;9.679322957992554;9.679322957992554
28;52.10481858253479;52.10481858253479;52.10481858253479;9.737785339355469;9.737785339355469;9.737785339355469;11.983569383621216;11.983569383621216;11.983569383621216
29;59.76944828033447;59.76944828033447;59.76944828033447;12.610655546188354;12.610655546188354;12.610655546188354;15.80347228050232;15.80347228050232;15.80347228050232
30;104.52406144142151;104.52406144142151;104.52406144142151;16.53235912322998;16.53235912322998;16.53235912322998;18.455975770950317;18.455975770950317;18.455975770950317
31;132.88539385795593;132.88539385795593;132.88539385795593;19.410677671432495;19.410677671432495;19.410677671432495;22.864357948303223;22.864357948303223;22.864357948303223
32;159.04154920578003;159.04154920578003;159.04154920578003;22.943785429000854;22.943785429000854;22.943785429000854;27.787904500961304;27.787904500961304;27.787904500961304
33;170.64026975631714;170.64026975631714;170.64026975631714;26.025044202804565;26.025044202804565;26.025044202804565;30.84026074409485;30.84026074409485;30.84026074409485
34;173.48348712921143;173.48348712921143;173.48348712921143;27.43579864501953;27.43579864501953;27.43579864501953;31.024540185928345;31.024540185928345;31.024540185928345
35;197.98128843307495;197.98128843307495;197.98128843307495;31.598219633102417;31.598219633102417;31.598219633102417;31.048117876052856;31.048117876052856;31.048117876052856
36;212.11378288269043;212.11378288269043;212.11378288269043;31.746829986572266;31.746829986572266;31.746829986572266;32.551074266433716;32.551074266433716;32.551074266433716
37;212.87614274024963;212.87614274024963;212.87614274024963;32.44777822494507;32.44777822494507;32.44777822494507;38.42003321647644;38.42003321647644;38.42003321647644
38;289.1626591682434;289.1626591682434;289.1626591682434;34.5156352519989;34.5156352519989;34.5156352519989;45.793503522872925;45.793503522872925;45.793503522872925
39;290.8097138404846;290.8097138404846;290.8097138404846;40.66728639602661;40.66728639602661;40.66728639602661;48.62711524963379;48.62711524963379;48.62711524963379
40;295.1395661830902;295.1395661830902;295.1395661830902;45.23035383224487;45.23035383224487;45.23035383224487;56.54443359375;56.54443359375;56.54443359375
41;342.58429980278015;342.58429980278015;342.58429980278015;45.649383306503296;45.649383306503296;45.649383306503296;59.88052248954773;59.88052248954773;59.88052248954773
42;530.0237901210785;530.0237901210785;530.0237901210785;57.142983198165894;57.142983198165894;57.142983198165894;71.38368391990662;71.38368391990662;71.38368391990662
43;595.4239778518677;595.4239778518677;595.4239778518677;59.86336040496826;59.86336040496826;59.86336040496826;1409.3428056240082;1409.3428056240082;1409.3428056240082
44;787.9914536476135;787.9914536476135;787.9914536476135;72.00539875030518;72.00539875030518;72.00539875030518;1726.0039384365082;1726.0039384365082;1726.0039384365082
45;1347.8552961349487;1347.8552961349487;1347.8552961349487;1389.020504951477;1389.020504951477;1389.020504951477;;;
46;1409.2800030708313;1409.2800030708313;1409.2800030708313;;;;;;
47;;;;;;;;;
48;;;;;;;;;
49;;;;;;;;;
50;;;;;;;;;
51;;;;;;;;;
52;;;;;;;;;
53;;;;;;;;;
54;;;;;;;;;
55;;;;;;;;;
56;;;;;;;;;
57;;;;;;;;;
58;;;;;;;;;
59;;;;;;;;;
60;;;;;;;;;
61;;;;;;;;;
62;;;;;;;;;
63;;;;;;;;;
64;;;;;;;;;
65;;;;;;;;;
66;;;;;;;;;
67;;;;;;;;;
