id;Type;DFTRES;DFTRESshifted;other;othershifted
crowds.5-20.positive;dtmc;0.005866301973643278;1;9.515362669829673e-16;1
crowds.6-20.positive;dtmc;0.0007190311412637277;1;1.2050697748760292e-15;1
haddad-monmege.100-0.7.target;dtmc;1.0;1;6.34413156928661e-17;1
cabinets.3-2-true.Unavailability;ma;1e-20;1;1e-20;1
cabinets.3-2-true.Unreliability;ma;1e-20;1;1e-20;1
ftpp.2-2-true.Unavailability;ma;1e-20;1;80000;80000
hecs.false-1-1.Unreliability;ma;0.0003752996494329123;1;1e-20;1
hecs.false-2-2.Unreliability;ma;5.336202825446899e-05;1;1e-20;1
hecs.false-3-2.Unreliability;ma;0.002534893800846265;1;1e-20;1
sms.3-true.Unreliability;ma;1e-20;1;1e-20;1
sms.3-true.Unavailability;ma;1e-20;1;1e-20;1
vgs.5-10000.MaxPrReachFailedTB;ma;80000;80000;1e-20;1
